timestamp: CODE VALUEBYTE(S)
1764233963.570: 80 0F 9D 
1764233963.570: 86 03 0B 
1764233963.570: 03 4D 
1764233963.570: 80 10 97 
1764233963.570: 80 10 28 
1764233963.570: 80 0F 4C 
1764233963.570: 80 0E D5 
1764233963.570: 80 0E 68 
1764233963.570: 80 0D 07 
1764233963.570: 80 0A 74 
1764233963.570: 80 07 98 
1764233963.570: 80 05 71 
1764233963.570: 80 04 01 
1764233963.570: 80 02 9D 
1764233963.570: 80 01 07 
1764233963.570: 80 FF DC 
1764233963.570: 80 FF BB 
1764233963.570: 80 00 5F 
1764233963.570: 80 00 E6 
1764233963.570: 80 00 E2 
1764233963.570: 80 00 C6 
1764233963.570: 80 01 24 
1764233963.570: 80 01 C5 
1764233963.570: 80 01 E2 
1764233963.570: 80 01 2B 
1764233963.570: 80 00 40 
1764233963.570: 80 FF EE 
1764233963.570: 80 00 36 
1764233963.570: 80 00 62 
1764233963.570: 80 00 05 
1764233963.570: 80 FF 91 
1764233963.570: 80 FF B7 
1764233963.570: 80 00 65 
1764233963.570: 80 00 CD 
1764233963.570: 80 00 6E 
1764233963.570: 80 FF BF 
1764233963.570: 80 FF 95 
1764233963.570: 80 00 12 
1764233963.570: 80 00 7E 
1764233963.570: 80 00 48 
1764233963.570: 80 FF C6 
1764233963.570: 80 FF BD 
1764233963.570: 80 00 4A 
1764233963.570: 80 00 B4 
1764233963.570: 80 00 5B 
1764233963.570: 80 FF 95 
1764233963.570: 80 FF 3F 
1764233963.570: 80 FF A0 
1764233963.570: 80 00 19 
1764233963.570: 80 FF FC 
1764233963.570: 80 FF 7B 
1764233963.570: 80 FF 5C 
1764233963.570: 80 FF E7 
1764233963.570: 80 00 7C 
1764233963.570: 80 00 66 
1764233963.570: 80 FF CC 
1764233963.602: 80 FF 83 
1764233963.602: 80 FF ED 
1764233963.602: 80 00 82 
1764233963.602: 80 00 88 
1764233963.602: 80 00 12 
1764233963.602: 80 FF E8 
1764233963.602: 80 00 71 
1764233963.602: 80 01 24 
1764233963.602: 80 01 3B 
1764233963.602: 80 00 BA 
1764233963.602: 80 00 6E 
1764233963.602: 80 00 D8 
1764233963.602: 80 01 86 
1764233963.602: 80 01 A9 
1764233963.602: 80 01 2B 
1764233963.602: 80 00 CC 
1764233963.602: 80 01 17 
1764233963.602: 80 01 A4 
1764233963.602: 80 01 A2 
1764233963.602: 80 00 F1 
1764233963.602: 80 00 55 
1764233963.602: 80 00 78 
1764233963.602: 80 01 0E 
1764233963.602: 80 01 3E 
1764233963.602: 80 00 C1 
1764233963.602: 80 00 3F 
1764233963.602: 80 00 5E 
1764233963.602: 80 00 E9 
1764233963.602: 80 01 12 
1764233963.602: 80 00 88 
1764233963.602: 80 FF E7 
1764233963.602: 80 FF E3 
1764233963.602: 80 00 60 
1764233963.602: 80 00 9D 
1764233963.602: 80 00 3F 
1764233963.602: 80 FF CE 
1764233963.602: 80 FF F7 
1764233963.602: 80 00 99 
1764233963.602: 80 00 EB 
1764233963.602: 80 00 85 
1764233963.602: 80 FF F4 
1764233963.602: 80 00 03 
1764233963.602: 80 00 AD 
1764233963.602: 80 01 24 
1764233963.602: 80 00 E2 
1764233963.602: 80 00 59 
1764233963.602: 80 00 5C 
1764233963.602: 80 00 FB 
1764233963.602: 80 01 70 
1764233963.602: 80 01 25 
1764233963.602: 80 00 81 
1764233963.602: 80 00 63 
1764233963.820: 80 00 FB 
1764233963.820: 80 01 91 
1764233963.820: 80 01 77 
1764233963.820: 80 00 F9 
1764233963.820: 80 00 EB 
1764233963.820: 80 01 8A 
1764233963.820: 80 02 21 
1764233963.820: 80 01 FD 
1764233963.820: 80 01 5C 
1764233963.820: 80 01 1F 
1764233963.820: 80 01 9E 
1764233963.820: 80 02 39 
1764233963.820: 80 02 30 
1764233963.820: 80 01 A6 
1764233963.820: 80 01 6F 
1764233963.820: 80 01 E9 
1764233963.820: 80 02 7C 
1764233963.820: 80 02 65 
1764233963.820: 80 01 BD 
1764233963.820: 80 01 5D 
1764233963.820: 80 01 BB 
1764233963.820: 80 02 55 
1764233963.820: 80 02 5D 
1764233963.820: 80 01 D3 
1764233963.820: 80 01 80 
1764233963.820: 80 01 E1 
1764233963.820: 80 02 7D 
1764233963.820: 80 02 82 
1764233963.820: 80 01 DD 
1764233963.820: 80 01 5A 
1764233963.820: 80 01 92 
1764233963.820: 80 02 28 
1764233963.820: 80 02 4A 
1764233963.820: 80 01 C9 
1764233963.820: 80 01 52 
1764233963.820: 80 01 7D 
1764233963.820: 80 01 FB 
1764233963.820: 80 02 00 
1764233963.820: 80 01 53 
1764233963.820: 80 00 A4 
1764233963.820: 80 00 9E 
1764233963.820: 80 01 0A 
1764233963.820: 80 01 1E 
1764233963.820: 80 00 8F 
1764233963.820: 80 FF F7 
1764233963.820: 80 FF FE 
1764233963.820: 80 00 75 
1764233963.820: 80 00 8A 
1764233963.820: 80 FF E2 
1764233963.820: 80 FF 16 
1764233963.820: 80 FE EA 
1764233963.820: 80 FF 4D 
1764233963.820: 80 FF 76 
1764233963.820: 80 FE EF 
1764233963.820: 80 FE 39 
1764233963.820: 80 FE 14 
1764233963.820: 80 FE 7F 
1764233963.820: 80 FE B2 
1764233963.820: 80 FE 2C 
1764233963.820: 80 FD 5E 
1764233963.820: 80 FD 19 
1764233963.820: 80 FD 75 
1764233963.820: 80 FD BB 
1764233963.820: 80 FD 5C 
1764233963.852: 80 FC B5 
1764233963.852: 80 FC 90 
1764233963.852: 80 FD 09 
1764233963.852: 80 FD 67 
1764233963.852: 80 FD 0A 
1764233963.852: 80 FC 4C 
1764233963.852: 80 FC 07 
1764233963.852: 80 FC 7C 
1764233963.852: 80 FC FE 
1764233963.852: 80 FC DA 
1764233963.852: 80 FC 47 
1764233963.852: 80 FC 17 
1764233963.852: 80 FC 96 
1764233963.852: 80 FD 20 
1764233963.852: 80 FC F9 
1764233963.852: 80 FC 49 
1764233963.852: 80 FB EC 
1764233963.852: 80 FC 4A 
1764233963.852: 80 FC D8 
1764233963.852: 80 FC D3 
1764233963.852: 80 FC 4C 
1764233963.852: 80 FC 0D 
1764233963.852: 80 FC 7F 
1764233963.852: 80 FD 1B 
1764233963.852: 80 FD 14 
1764233963.852: 80 FC 6F 
1764233963.852: 80 FC 03 
1764233963.852: 80 FC 5E 
1764233963.852: 80 FD 0E 
1764233963.852: 80 FD 3D 
1764233963.852: 80 FC CB 
1764233963.852: 80 FC 75 
1764233963.852: 80 FC D1 
1764233963.852: 80 FD 81 
1764233963.852: 80 FD AE 
1764233963.852: 80 FD 28 
1764233963.852: 80 FC A4 
1764233963.852: 80 FC CE 
1764233963.852: 80 FD 68 
1764233963.852: 80 FD A8 
1764233963.852: 80 FD 48 
1764233963.852: 80 FC E6 
1764233963.852: 80 FD 25 
1764233963.852: 80 FD CE 
1764233963.852: 80 FE 14 
1764233963.852: 80 FD A8 
1764233963.852: 80 FD 22 
1764233963.852: 80 FD 3B 
1764233963.852: 80 FD D4 
1764233963.852: 80 FE 25 
1764233963.852: 80 FD C9 
1764233963.852: 80 FD 49 
1764233963.852: 80 FD 5D 
1764233963.852: 80 FD F3 
1764233963.852: 80 FE 41 
1764233963.852: 80 FD D3 
1764233963.852: 80 FD 30 
1764233963.852: 80 FD 26 
1764233963.852: 80 FD BF 
1764233963.852: 80 FE 34 
1764233963.852: 80 FD F7 
1764233963.852: 80 FD 71 
1764233963.852: 80 FD 6B 
1764233963.852: 80 FD FC 
1764233963.883: 80 FE 65 
1764233963.883: 80 FE 11 
1764233963.883: 80 FD 61 
1764233963.883: 80 FD 2D 
1764233963.883: 80 FD A7 
1764233963.883: 80 FE 1F 
1764233963.883: 80 FD F1 
1764233963.883: 80 FD 66 
1764233963.961: 80 FD 4C 
1764233963.961: 80 FD DA 
1764233963.961: 80 FE 61 
1764233963.961: 80 FE 2E 
1764233963.961: 80 FD 7E 
1764233963.961: 80 FD 31 
1764233963.961: 80 FD 9F 
1764233963.961: 80 FE 2C 
1764233963.961: 80 FE 18 
1764233963.961: 80 FD 83 
1764233963.961: 80 FD 3F 
1764233963.961: 80 FD B0 
1764233963.961: 80 FE 45 
1764233963.961: 80 FE 35 
1764233963.961: 80 FD 8E 
1764233963.961: 80 FD 29 
1764233963.961: 80 FD 89 
1764233963.961: 80 FE 34 
1764233963.961: 80 FE 57 
1764233963.961: 80 FD E1 
1764233963.961: 80 FD 96 
1764233963.961: 80 FE 01 
1764233963.961: 80 FE B3 
1764233963.961: 80 FE D3 
1764233963.961: 80 FE 43 
1764233963.961: 80 FD C5 
1764233963.961: 80 FE 00 
1764233963.961: 80 FE A4 
1764233963.961: 80 FE DA 
1764233963.961: 80 FE 6A 
1764233963.961: 80 FE 02 
1764233963.961: 80 FE 45 
1764233963.961: 80 FE EE 
1764233963.961: 80 FF 24 
1764233963.961: 80 FE 9F 
1764233963.961: 80 FE 0A 
1764233963.961: 80 FE 22 
1764233963.961: 80 FE BF 
1764233963.961: 80 FF 0F 
1764233963.961: 80 FE B1 
1764233963.961: 80 FE 36 
1764233963.961: 80 FE 55 
1764233963.961: 80 FE EF 
1764233963.961: 80 FF 3B 
1764233963.961: 80 FE D1 
1764233963.961: 80 FE 3C 
1764233963.961: 80 FE 3E 
1764233963.961: 80 FE CE 
1764233963.961: 80 FF 27 
1764233963.961: 80 FE D3 
1764233963.961: 80 FE 50 
1764233963.961: 80 FE 61 
1764233963.961: 80 FF 02 
1764233963.961: 80 FF 64 
1764233964.305: 80 FE FE 
1764233964.305: 80 FE 4A 
1764233964.305: 80 FE 26 
1764233964.305: 80 FE B7 
1764233964.305: 80 FF 3A 
1764233964.305: 80 FF 0C 
1764233964.305: 80 FE 7F 
1764233964.305: 80 FE 69 
1764233964.305: 80 FE F9 
1764233964.305: 80 FF 7C 
1764233964.305: 80 FF 44 
1764233964.305: 80 FE 99 
1764233964.305: 80 FE 5A 
1764233964.305: 80 FE D2 
1764233964.305: 80 FF 5F 
1764233964.305: 80 FF 49 
1764233964.305: 80 FE C0 
1764233964.305: 80 FE 98 
1764233964.305: 80 FF 24 
1764233964.305: 80 FF C6 
1764233964.305: 80 FF BB 
1764233964.305: 80 FF 25 
1764233964.305: 80 FE E1 
1764233964.305: 80 FF 5E 
1764233964.305: 80 00 0F 
1764233964.305: 80 00 2D 
1764233964.305: 80 FF BD 
1764233964.305: 80 FF 8C 
1764233964.305: 80 00 0F 
1764233964.305: 80 00 BF 
1764233964.305: 80 00 CA 
1764233964.305: 80 00 2D 
1764233964.305: 80 FF C0 
1764233964.305: 80 00 13 
1764233964.305: 80 00 BA 
1764233964.305: 80 00 DB 
1764233964.305: 80 00 56 
1764233964.305: 80 FF EB 
1764233964.305: 80 00 34 
1764233964.305: 80 00 D0 
1764233964.305: 80 00 E4 
1764233964.305: 80 00 41 
1764233964.305: 80 FF A7 
1764233964.305: 80 FF C7 
1764233964.305: 80 00 5F 
1764233964.305: 80 00 96 
1764233964.305: 80 00 1B 
1764233964.305: 80 FF 93 
1764233964.305: 80 FF AA 
1764233964.305: 80 00 2E 
1764233964.305: 80 00 4A 
1764233964.305: 80 FF A9 
1764233964.305: 80 FE EE 
1764233964.305: 80 FE D9 
1764233964.305: 80 FF 50 
1764233964.305: 80 FF 85 
1764233964.305: 80 FF 11 
1764233964.305: 80 FE 81 
1764233964.305: 80 FE 94 
1764233964.305: 80 FF 33 
1764233964.305: 80 FF 8B 
1764233964.305: 80 FF 21 
1764233964.305: 80 FE 7D 
1764233964.305: 80 FE 76 
1764233964.336: 80 FF 17 
1764233964.336: 80 FF 96 
1764233964.336: 80 FF 62 
1764233964.336: 80 FE E2 
1764233964.336: 80 FE E6 
1764233964.336: 80 FF 7C 
1764233964.336: 80 FF DC 
1764233964.336: 80 FF 6F 
1764233964.336: 80 FE A6 
1764233964.336: 80 FE 6D 
1764233964.336: 80 FE FE 
1764233964.336: 80 FF 94 
1764233964.336: 80 FF 7F 
1764233964.336: 80 FF 12 
1764233964.336: 80 FF 37 
1764233964.336: 80 00 39 
1764233964.336: 80 01 6A 
1764233964.336: 80 02 13 
1764233964.336: 80 02 7B 
1764233964.336: 80 03 7F 
1764233964.336: 80 05 60 
1764233964.336: 80 07 58 
1764233964.336: 80 08 A5 
1764233964.336: 80 09 92 
1764233964.336: 80 0B 12 
1764233964.336: 80 0D 5B 
1764233964.336: 86 02 F0 
1764233964.336: 03 50 
1764233964.336: 80 0F 6C 
1764233964.336: 80 10 1F 
1764233964.336: 80 0F 81 
1764233964.336: 80 0E AA 
1764233964.336: 80 0E 49 
1764233964.336: 80 0D CE 
1764233964.336: 80 0C 36 
1764233964.336: 02 C8 
1764233964.336: 80 09 72 
1764233964.336: 80 06 8C 
