timestamp: CODE VALUEBYTE(S)
1758536288.552: 80 02 DC 
1758536288.552: 80 02 EA 
1758536288.552: 80 02 EB 
1758536288.552: 80 02 DC 
1758536288.552: 80 02 A4 
1758536288.552: 80 02 27 
1758536288.552: 80 01 77 
1758536288.552: 80 00 CF 
1758536288.552: 80 00 65 
1758536288.552: 80 00 3D 
1758536288.552: 80 00 34 
1758536288.552: 80 00 29 
1758536288.552: 80 00 17 
1758536288.552: 80 FF F7 
1758536288.552: 80 FF B0 
1758536288.552: 80 FF 2A 
1758536288.552: 80 FE 74 
1758536288.552: 80 FD C8 
1758536288.552: 80 FD 5C 
1758536288.552: 80 FD 38 
1758536288.552: 80 FD 3B 
1758536288.552: 80 FD 46 
1758536288.552: 80 FD 51 
1758536288.552: 80 FD 58 
1758536288.552: 80 FD 40 
1758536288.552: 80 FC ED 
1758536288.552: 80 FC 64 
1758536288.552: 80 FB DB 
1758536288.552: 80 FB 8C 
1758536288.552: 80 FB 89 
1758536288.552: 80 FB B5 
1758536288.552: 80 FB EC 
1758536288.552: 80 FC 21 
1758536288.552: 80 FC 51 
1758536288.552: 80 FC 67 
1758536288.615: 80 FC 47 
1758536288.615: 80 FB F1 
1758536288.615: 80 FB 92 
1758536288.615: 80 FB 65 
1758536288.615: 80 FB 81 
1758536288.615: 80 FB CD 
1758536288.615: 80 FC 21 
1758536288.615: 80 FC 6E 
1758536288.615: 80 FC B7 
1758536288.615: 80 FC EB 
1758536288.615: 80 FC EB 
1758536288.615: 80 FC AA 
1758536288.615: 80 FC 4C 
1758536288.615: 80 FC 11 
1758536288.615: 80 FC 21 
1758536288.615: 80 FC 6C 
1758536288.615: 80 FC CA 
1758536288.615: 80 FD 21 
1758536288.615: 80 FD 6E 
1758536288.615: 80 FD A7 
1758536288.615: 80 FD B0 
1758536288.615: 80 FD 7B 
1758536288.615: 80 FD 26 
1758536288.615: 80 FC ED 
1758536288.615: 80 FC F9 
1758536288.615: 80 FD 3D 
1758536288.615: 80 FD 95 
1758536288.615: 80 FD E8 
1758536288.615: 80 FE 38 
1758536288.615: 80 FE 7B 
1758536288.615: 80 FE 93 
1758536288.615: 80 FE 65 
1758536288.724: 80 FE 0A 
1758536288.724: 80 FD C0 
1758536288.724: 80 FD BA 
1758536288.724: 80 FD F8 
1758536288.724: 80 FE 51 
1758536288.724: 80 FE A4 
1758536288.724: 80 FE ED 
1758536288.724: 80 FF 27 
1758536288.724: 80 FF 39 
1758536288.724: 80 FF 09 
1758536288.724: 80 FE AA 
1758536288.724: 80 FE 54 
1758536288.724: 80 FE 3D 
1758536288.724: 80 FE 69 
1758536288.724: 02 C8 
1758536288.724: 80 FE B3 
1758536288.724: 80 FE FC 
1758536288.724: 80 FF 3D 
1758536288.724: 80 FF 76 
1758536288.724: 80 FF 8F 
1758536288.724: 80 FF 69 
1758536288.724: 80 FF 08 
1758536288.724: 80 FE A2 
1758536288.724: 80 FE 70 
1758536288.724: 80 FE 84 
1758536288.724: 80 FE C3 
1758536288.724: 80 FF 09 
1758536288.724: 80 FF 44 
1758536288.724: 80 FF 71 
1758536288.724: 80 FF 7D 
1758536288.724: 80 FF 50 
1758536288.724: 80 FE EF 
1758536288.724: 80 FE 88 
1758536288.724: 80 FE 52 
1758536288.724: 80 FE 5F 
1758536288.724: 80 FE 9A 
1758536288.724: 80 FE E0 
1758536288.724: 80 FF 23 
1758536288.724: 80 FF 62 
